V1,V2,weight
1586,1345,0.98
1586,1356,0.96
1385,173,0.62
366,1742,0.98
366,299,0.99
366,1686,0.98
366,879,0.8
1729,1486,0.95
1729,1579,0.94
1729,1395,0.98
1496,482,0.92
1496,300,0.74
1496,1746,0.94
135,1771,0.93
135,1639,0.5
55,1639,0.6
55,1295,0.6
55,886,0.8
55,406,0.93
55,484,0.83
55,142,0.86
55,536,0.74
1474,694,0.8
1474,317,0.88
1474,1692,0.96
1474,1741,0.94
1474,1755,0.96
1474,886,0.74
1474,229,0.88
1474,1712,0.45
357,1302,0.61
357,1666,0.81
536,484,0.91
536,142,0.88
536,55,0.74
5,715,0.85
606,453,0.84
1541,202,0.98
1541,639,0.94
994,1013,0.98
1709,284,1.0
1709,879,0.77
1709,1563,0.9
1709,1627,0.93
905,1330,0.68
905,62,0.69
905,1146,0.85
381,382,0.79
381,767,0.51
381,347,0.9
381,46,0.75
1188,161,0.89
731,1302,0.54
731,588,0.53
731,482,0.98
235,1712,0.83
235,1639,0.93
1118,803,0.81
1118,1068,0.98
1118,319,0.88
1118,1322,0.69
1666,1143,0.64
1666,357,0.81
288,107,0.8
288,46,0.89
288,537,0.92
989,990,0.69
1517,561,0.46
1157,488,0.93
1426,1439,0.89
1658,421,0.75
505,509,0.78
1124,709,0.81
1124,390,0.95
1124,1135,0.86
1124,588,0.73
258,378,0.55
258,693,0.55
258,937,0.97
444,594,0.66
444,134,0.62
444,1201,0.9
392,841,0.93
392,1292,0.93
501,1639,0.61
501,319,0.64
501,1634,0.78
1376,748,0.83
1376,1368,0.95
873,302,0.92
873,1549,0.75
873,155,0.57
605,783,0.82
1437,1322,0.26
1437,827,0.98
1437,304,0.92
1437,486,0.88
1437,284,1.0
1458,421,0.69
608,462,0.32
608,525,0.48
608,1201,0.64
608,1322,0.53
608,288,0.98
1726,746,0.88
1492,1032,0.88
1492,733,0.57
1492,421,0.66
332,915,0.87
141,219,0.99
141,899,0.56
141,1020,0.98
1733,143,1.0
