"source","target","value"
"992","1146","1"
"992","120","0.92"
"992","295","0.94"
"976","518","0.66"
"54","694","0.86"
"54","406","0.93"
"1196","1345","0.98"
"1196","1356","0.96"
"1012","173","0.62"
"274","299","0.99"
"274","879","0.8"
"1113","482","0.92"
"1113","300","0.74"
"40","1295","0.6"
"40","886","0.8"
"40","406","0.93"
"40","484","0.83"
"40","142","0.86"
"40","536","0.74"
"1093","694","0.8"
"1093","317","0.88"
"1093","886","0.74"
"1093","229","0.88"
"268","1302","0.61"
"401","484","0.91"
"401","142","0.88"
"401","55","0.74"
"4","715","0.85"
"457","453","0.84"
"1155","202","0.98"
"1155","639","0.94"
"735","1013","0.98"
"1309","284","1"
"1309","879","0.77"
"678","1330","0.68"
"678","62","0.69"
"678","1146","0.85"
"285","382","0.79"
"285","767","0.51"
"285","347","0.9"
"285","46","0.75"
"865","161","0.89"
"553","1302","0.54"
"553","588","0.53"
"553","482","0.98"
"817","803","0.81"
"817","1068","0.98"
"817","319","0.88"
"817","1322","0.69"
"1269","1143","0.64"
"1269","357","0.81"
"215","107","0.8"
"215","46","0.89"
"215","537","0.92"
"731","990","0.69"
"1132","561","0.46"
"845","488","0.93"
"1261","421","0.75"
"384","509","0.78"
"822","709","0.81"
"822","390","0.95"
"822","1135","0.86"
"822","588","0.73"
"192","378","0.55"
"192","693","0.55"
"192","937","0.97"
"334","594","0.66"
"334","134","0.62"
"334","1201","0.9"
"292","841","0.93"
"292","1292","0.93"
"381","319","0.64"
"1005","748","0.83"
"1005","1368","0.95"
"649","302","0.92"
"649","155","0.57"
"456","783","0.82"
"1059","1322","0.26"
"1059","827","0.98"
"1059","304","0.92"
"1059","486","0.88"
"1059","284","1"
"1080","421","0.69"
"458","462","0.32"
"458","525","0.48"
"458","1201","0.64"
"458","1322","0.53"
"458","288","0.98"
"1324","746","0.88"
"1109","1032","0.88"
"1109","733","0.57"
"1109","421","0.66"
"254","915","0.87"
"99","219","0.99"
"99","899","0.56"
"99","1020","0.98"
"1331","143","1"
"1248","1164","0.26"
"1248","742","0.78"
"1248","827","0.86"
"432","319","0.94"
"432","46","0.9"
"432","588","0.89"
"432","486","0.64"
"432","501","0.69"
"432","805","0.72"
"801","1302","0.66"
"801","996","0.75"
"583","43","0.98"
"583","623","0.96"
"583","1062","0.94"
"78","1322","0.35"
"78","1171","0.92"
"78","786","0.38"
"469","142","0.81"
"469","683","0.86"
"469","1191","0.98"
"469","588","0.52"
"1069","1048","0.8"
"708","1054","0.94"
"708","423","0.98"
"708","107","0.98"
"708","899","0.61"
"202","1013","0.88"
"811","319","0.79"
"811","462","0.39"
"938","319","0.98"
"938","46","0.83"
"938","487","0.74"
"938","134","0.65"
"343","288","1"
"343","858","0.92"
"343","826","0.73"
"937","956","0.77"
"326","1326","0.97"
"621","1333","0.9"
"621","1082","0.93"
"621","1083","0.97"
"831","229","0.96"
"831","217","0.98"
"831","295","0.98"
"831","646","0.93"
"593","79","0.95"
"23","46","0.93"
"23","1145","0.95"
"267","1240","0.94"
"267","529","1"
"364","43","0.9"
"695","20","0.99"
"695","1013","0.75"
"695","694","0.83"
"695","937","0.95"
"695","1085","0.92"
"695","1063","0.79"
"695","1093","0.79"
"781","1107","0.73"
"781","253","0.79"
"781","1216","0.83"
"781","93","0.7"
"781","1302","0.47"
"838","300","0.95"
"838","1363","1"
"838","1322","0.5"
"838","886","0.88"
"408","59","0.83"
"1348","87","0.68"
"1348","331","0.76"
"1348","830","0.94"
"1348","983","0.99"
"241","1302","0.64"
"241","886","0.86"
"1284","807","0.6"
"378","46","1"
"378","437","0.98"
"1225","229","0.81"
"1017","1354","0.94"
"377","694","0.95"
"377","8","0.83"
"377","1224","0.83"
"377","886","0.89"
"377","229","0.98"
"377","300","0.97"
"1077","886","0.72"
"186","1190","0.95"
"186","977","0.96"
"359","916","0.88"
"410","1302","0.74"
"410","319","0.79"
"410","109","0.9"
"939","1023","0.83"
"939","459","0.97"
"491","655","0.94"
"491","46","0.94"
"491","1145","0.96"
"499","229","0.98"
"499","217","0.99"
"499","1302","0.67"
"499","886","0.89"
"499","300","0.97"
"499","285","0.69"
"857","694","0.83"
"857","1129","0.91"
"857","1322","0.4"
"857","826","0.59"
"857","833","0.69"
"412","516","0.89"
"412","406","0.9"
"256","899","0.96"
"256","336","0.97"
"1190","809","0.75"
"1190","879","0.82"
"1190","406","0.82"
"1190","961","0.9"
"93","1322","0.83"
"93","246","0.64"
"816","359","0.99"
"816","319","0.89"
"816","1322","0.7"
"816","1164","0.82"
"816","830","0.69"
"773","830","0.9"
"773","166","0.71"
"773","952","0.83"
"188","525","0.62"
"77","1322","0.74"
"77","7","0.98"
"1030","770","0.4"
"247","26","0.98"
"640","694","0.97"
"640","784","0.98"
"640","236","0.98"
"1099","631","0.67"
"1099","1171","0.91"
"873","1275","0.84"
"1169","1314","0.88"
"1199","816","0.66"
"555","46","1"
"555","260","0.98"
"555","1145","0.98"
"555","827","0.64"
"555","689","0.74"
"1318","961","0.67"
"1318","1345","0.77"
"1318","1371","0.98"
"721","319","1"
"721","1268","0.86"
"721","1190","0.91"
"721","251","0.96"
"721","560","0.79"
"721","694","0.76"
"721","99","0.87"
"721","1308","0.9"
"721","84","0.79"
"721","1200","0.79"
"721","1031","0.79"
"721","43","0.68"
"721","274","0.71"
"721","488","0.71"
"721","783","0.69"
"721","1013","0.83"
"721","1164","0.93"
"721","1302","0.96"
"721","322","0.85"
"1152","1317","0.6"
"894","265","0.91"
"894","1322","0.84"
"204","1322","0.6"
"204","900","0.83"
"133","71","0.97"
"133","319","0.88"
"496","807","0.45"
"1162","1164","0.48"
"1162","891","0.72"
"1162","43","0.88"
"411","381","0.84"
"411","826","0.43"
"411","228","0.98"
"411","369","0.95"
"373","224","0.84"
"373","1322","0.56"
"30","319","0.7"
"159","406","0.97"
"159","224","0.74"
"159","154","0.92"
"159","229","0.97"
"165","549","0.98"
"824","1292","0.98"
"824","841","0.98"
"824","513","0.91"
"696","155","0.62"
"696","979","0.93"
"1031","378","0.25"
"836","46","0.98"
"836","733","0.98"
"836","1145","1"
"836","437","0.97"
"836","305","0.98"
"1342","1166","0.9"
"1342","224","0.79"
"1342","694","0.93"
"1342","166","0.92"
"1342","282","0.96"
"1342","152","1"
"1342","61","0.98"
"1342","8","0.85"
"1342","1090","0.92"
"1342","455","0.92"
"739","322","0.89"
"1139","998","0.94"
"1139","536","0.72"
"257","335","0.97"
"970","536","0.5"
"970","142","0.63"
"970","465","0.8"
"652","194","0.9"
"652","173","0.83"
"243","668","0.95"
"243","539","0.96"
"243","588","0.95"
"243","1322","0.81"
"243","84","0.79"
"218","1090","0.89"
"218","1224","0.96"
"218","455","0.89"
"1357","501","0.63"
"233","1117","0.83"
"383","488","0.89"
"383","513","0.94"
"1165","1330","0.57"
"1165","546","0.59"
"1300","886","0.66"
"1016","32","0.77"
"1016","937","0.8"
"1016","998","0.78"
"1016","86","0.32"
"734","970","0.96"
"734","1164","0.42"
"734","833","0.59"
"734","46","0.65"
"734","827","0.98"
"734","39","0.88"
"734","459","0.91"
"734","486","0.92"
"734","537","0.84"
"1129","709","0.71"
"1129","475","0.88"
"1129","1322","0.49"
"1158","228","0.93"
"784","46","0.87"
"784","879","0.98"
"784","93","0.9"
"784","43","0.97"
"414","768","0.77"
"1068","39","0.98"
"406","894","0.97"
"406","1229","0.93"
"536","1117","0.94"
"746","733","0.98"
"746","1322","0.64"
"746","588","0.78"
"746","689","0.75"
"746","827","0.65"
"182","423","0.65"
"855","405","0.44"
"855","1317","0.85"
"855","477","0.89"
"774","111","0.69"
"653","612","0.94"
"415","1322","0.38"
"415","319","0.57"
"1252","245","0.89"
"50","178","0.85"
"50","935","0.98"
"316","1200","0.97"
"316","319","0.75"
"316","934","0.9"
"452","733","0.83"
"720","558","0.98"
"720","8","0.98"
"720","1224","0.98"
"720","537","0.91"
"720","45","0.98"
"720","611","0.88"
"346","382","0.8"
"346","319","1"
"346","46","0.84"
"997","748","0.88"
"997","694","0.64"
"1202","319","0.39"
"1202","830","0.8"
"637","319","0.49"
"637","11","0.99"
"1353","886","0.84"
"1353","300","0.92"
"1353","859","0.79"
"45","588","0.8"
"1351","1290","0.84"
"1351","961","0.86"
"328","46","0.98"
"328","733","0.98"
"82","1302","0.57"
"82","886","0.79"
"82","229","0.93"
"82","300","0.87"
"82","965","0.86"
"1323","84","0.63"
"1323","1063","0.62"
"1323","224","0.5"
"655","883","0.87"
"686","245","0.98"
"686","589","1"
"1070","302","0.99"
"1070","296","0.9"
"1070","112","0.99"
"1070","937","0.91"
"662","156","0.9"
"327","84","0.69"
"327","704","0.66"
"466","588","0.78"
"128","23","0.94"
"790","437","0.98"
"672","886","0.75"
"797","694","0.91"
"797","937","0.97"
"797","629","0.98"
"797","1129","0.98"
"675","879","0.87"
"675","43","0.88"
"675","623","0.86"
"675","80","0.93"
"445","1209","0.96"
"563","733","0.72"
"281","767","0.62"
"281","748","0.82"
"929","812","0.88"
"142","733","0.91"
"142","595","0.93"
"142","1322","0.74"
"142","710","0.85"
"778","767","0.93"
"778","423","0.93"
"778","900","0.94"
"594","84","0.89"
"594","99","0.81"
"594","423","0.74"
"594","46","0.83"
"594","1164","0.6"
"991","59","0.93"
"991","573","0.92"
"1273","1164","0.4"
"321","168","0.68"
"321","938","0.69"
"681","733","0.99"
"681","1145","0.99"
"681","1143","0.99"
"681","235","0.88"
"884","253","0.96"
"884","155","0.78"
"884","709","0.71"
"884","1164","0.6"
"884","1302","0.64"
"698","1308","0.78"
"120","938","0.99"
"120","1039","0.92"
"798","173","0.89"
"1280","1164","0.31"
"1280","1003","0.49"
"710","253","0.88"
"710","886","0.79"
"710","286","0.94"
"710","1216","0.93"
"710","46","0.76"
"710","319","0.6"
"710","371","0.91"
"494","830","0.98"
"494","1117","0.68"
"494","426","0.96"
"633","1166","0.66"
"875","827","0.69"
"1359","1316","0.79"
"1127","1322","0.4"
"1127","886","0.78"
"835","709","0.85"
"871","1322","0.84"
"32","46","0.83"
"32","1164","0.6"
"32","1062","0.97"
"860","93","0.93"
"860","629","0.95"
"1019","998","0.79"
"1019","15","0.93"
"76","1316","0.99"
"76","1101","0.98"
"76","453","0.98"
"76","785","0.99"
"76","683","0.98"
"76","1130","0.97"
"76","274","0.98"
"76","1316","0.99"
"76","1150","0.9"
"959","561","0.58"
"959","1013","0.75"
"732","423","0.88"
"732","1003","0.93"
"732","1322","0.64"
"732","1200","0.96"
"178","755","0.83"
"178","240","0.96"
"742","977","0.89"
"742","1190","0.98"
"742","423","0.95"
"742","869","0.69"
"742","1356","0.6"
"742","43","0.79"
"20","378","0.57"
"866","977","0.91"
"866","1268","0.95"
"866","224","1"
"866","694","0.85"
"9","611","0.83"
"372","537","0.93"
"372","595","0.71"
"372","1302","0.54"
"372","1375","0.99"
"372","588","0.53"
"176","240","0.92"
"43","1322","0.5"
"43","1200","0.9"
"43","237","0.88"
"890","894","0.97"
"890","542","0.93"
"804","469","0.94"
"804","1118","0.77"
"804","46","0.81"
"804","1302","0.61"
"829","423","1"
"829","141","0.93"
"829","462","0.55"
"829","899","0.63"
"829","1054","0.93"
"585","1117","0.9"
"585","1008","0.81"
"585","378","0.88"
"585","830","0.6"
"1292","1302","0.48"
"461","319","0.67"
"461","1322","0.48"
"461","195","0.74"
"828","406","0.97"
"943","1308","0.63"
"943","253","0.81"
"943","443","0.87"
"1157","332","0.98"
"1157","694","0.97"
"666","886","0.83"
"666","229","0.97"
